unique_id|competitor_name|extraction_date|product_name|brand|grammage_quantity|grammage_unit|breadcrumb|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|pdp_url|Fat %|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|upc|ingredients|servings_per_pack|img_urls
1226222|aldi|2025-05-08|Goudse kaas 48+ jong|Molenland|450.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ jong|ALDI Supermarkten|Product|Goudse kaas 48+ jong|||4.15|4.15|None|3.59|2025-05-12|2025-05-19|discount|||9.22|EUR|https://www.aldi.nl/product/goudse-kaas-48+-jong-1226222.html||||||nl||||1226222|||https://s7g10.scene7.com/is/image/aldinord/product_1226222_main_cms_3_nl_nl_goudse_kaas_48_jong_cw01_2024
1226221|aldi|2025-05-08|Goudse kaas 48+ jong belegen|Molenland|450.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ jong belegen|ALDI Supermarkten|Product|Goudse kaas 48+ jong belegen|||4.35|4.35|None|3.59|2025-05-12|2025-05-19|discount|||9.67|EUR|https://www.aldi.nl/product/goudse-kaas-48+-jong-belegen-1226221.html||||||nl||||1226221|||https://s7g10.scene7.com/is/image/aldinord/product_1226221_main_cms_3_nl_nl_goudse_kaas_48_jong_belegen_cw01_2024
1226214|aldi|2025-05-08|Goudse kaas 48+ oud|Molenland|600.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ oud|ALDI Supermarkten|Product|Goudse kaas 48+ oud|||8.99|8.99|None|||||||14.98|EUR|https://www.aldi.nl/product/goudse-kaas-48+-oud-1226214.html|||Extra oude Hollandse Gouda kaas 48+.|||nl||||1226214|||https://s7g10.scene7.com/is/image/aldinord/Superior_Taste_Award_2024_2ster,https://s7g10.scene7.com/is/image/aldinord/product_1226214_main_cms_3_nl_nl_goudse_kaas_48_oud_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
1226185|aldi|2025-05-08|Goudse kaas 48+ belegen|molenland|800.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ belegen|ALDI Supermarkten|Product|Goudse kaas 48+ belegen|||7.67|7.67|None|||||||9.59|EUR|https://www.aldi.nl/product/-goudse-kaas-48+-belegen-1226185.html||||||nl||||1226185|||https://s7g10.scene7.com/is/image/aldinord/product_1226185_main_cms_2_nl_nl_goudse_kaas_48_belegen_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
1226179|aldi|2025-05-08|Roomkaas|Paturain|90.0|g|ALDI Supermarkten > Product > Roomkaas|ALDI Supermarkten|Product|Roomkaas|||None|None|None|1.29|2025-05-19|2025-05-23|discount|||14.33|EUR|https://www.aldi.nl/product/roomkaas-1226179.html||||||nl||||1226179|||https://s7g10.scene7.com/is/image/aldinord/product_1226179_main_cms_2_nl_nl_roomkaas_cw01_2024
1226178|aldi|2025-05-08|Kaasplakken 30+ jong belegen|milner|150.0|g|ALDI Supermarkten > Product > Kaasplakken 30+ jong belegen|ALDI Supermarkten|Product|Kaasplakken 30+ jong belegen|||None|None|None|||||||None|EUR|https://www.aldi.nl/product/kaasplakken-30+-jong-belegen-1226178.html||||||nl||||1226178|||https://s7g10.scene7.com/is/image/aldinord/product_1226178_main_cms_1_nl_nl_kaasplakken_30_jong_belegen_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
1226177|aldi|2025-05-08|Blauwe kaas|Delicate danish|200.0|g|ALDI Supermarkten > Product > Blauwe kaas|ALDI Supermarkten|Product|Blauwe kaas|||2.69|2.69|None|||||||13.45|EUR|https://www.aldi.nl/product/blauwe-kaas-1226177.html|||Superior Taste Award 2024.|||nl||||1226177|||https://s7g10.scene7.com/is/image/aldinord/product_1226177_main_cms_3_nl_nl_blauwe_kaas_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Superior_Taste_Award_2024_1ster
1226176|aldi|2025-05-08|Kaas 48+|Golden mill|300.0|g|ALDI Supermarkten > Product > Kaas 48+|ALDI Supermarkten|Product|Kaas 48+|||3.99|3.99|None|||||||13.3|EUR|https://www.aldi.nl/product/kaas-48+-1226176.html|||Gekozen Huismerk Product van het Jaar 2024.|||nl||||1226176|||https://s7g10.scene7.com/is/image/aldinord/Best_getest,https://s7g10.scene7.com/is/image/aldinord/product_1226176_main_cms_1_nl_nl_kaas_48_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
1226175|aldi|2025-05-08|Goudse kaas 48+ plakken extra belegen|Molenland|200.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ plakken extra belegen|ALDI Supermarkten|Product|Goudse kaas 48+ plakken extra belegen|||3.39|3.39|None|||||||16.95|EUR|https://www.aldi.nl/product/goudse-kaas-48+-plakken-extra-belegen-1226175.html|||Natuurgerijpt.|||nl||||1226175|||https://s7g10.scene7.com/is/image/aldinord/product_1226175_main_cms_1_nl_nl_goudse_kaas_48_plakken_extra_belegen_cw01_2024
1226174|aldi|2025-05-08|Goudse kaas 48+ plakken belegen|molenland|200.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ plakken belegen|ALDI Supermarkten|Product|Goudse kaas 48+ plakken belegen|||3.29|3.29|None|||||||16.45|EUR|https://www.aldi.nl/product/--goudse-kaas-48+-plakken-belegen-1226174.html|||Natuurgerijpt.|||nl||||1226174|||https://s7g10.scene7.com/is/image/aldinord/product_1226174_main_cms_1_nl_nl_goudse_kaas_48_plakken_belegen_cw01_2024
