ean|product_name|product_url|product_image|promotion_description|selling_price|original_price|currency|grammage_unit|rating|reviews_count|long_description|short_description|suitable_for|dimensions_value|product_id|composition_list|analytical_constituents|nutritional_additives|sensory_additives|technological_additives
5060184240512|Lily's Kitchen Adult Dry Dog Food Chicken & Duck|https://www.petsathome.com/product/lilys-kitchen-countryside-casserole-dry-adult-dog-food-chicken-and-duck/7105661P|https://cdn.petsathome.com/public/images/products/900_7105661.jpg|Now £8.50 On Selected Lily's Kitchen Dog Food|8.50|10.09|pounds||5|17|That pitta patta of paws jumping excitedly on your kitchen tiles come dinner time? That's the kind of reaction Lily's food has on dogs, and it's all thanks to wholesome and delicious ingredients bursting with natural goodness. This complete, grain-free recipe is made with fresh chicken and freshly prepared duck plus vegetables, fruits, botanical herbs, vitamins and minerals. (Only the best for your doggo, right?) Lily's add glucosamine and chondroitin into their dry dog food to help aid bone and joint support, prebiotics to help support a healthy digestion and essential nutrients for overall health. It also contains salmon oil, a source of omega-3 fatty acids that help your dog's skin and fur stay healthy, shiny and soft.||Adult dogs 4+ months.|1kg: H29 x W18 x D9cm|7105661|42% Chicken and Duck: Fresh Chicken (31%), Freshly Prepared Duck (8%), Chicken Liver (3%). Sweet Potatoes (29%), Whole Peas (6.5%), Whole Lentils, Pea Protein, Flaxseed, Egg, Potato Protein, Chicken Gravy, Minerals, Botanicals and Herbs* (1%), Salmon Oil, Prebiotics (Mannan Oligosaccharides 1.3g/kg, Fructooligosaccharides 0.8g/kg), Carrots, Apples, Joint Care Mix (Glucosamine 175mg/kg, Methylsulfonylmethane 175mg/kg, Chondroitin Sulphate 125mg/kg), Cranberries, Spinach. *Botanicals and Herbs: Alfalfa, Chickweed, Cleavers, Golden Rod, Nettles, Seaweed, Dandelion Root, Celery Seeds, Milk Thistle, Burdock Root, Marigold Flowers, Rosehips|Protein: 23.5%; Crude Fibres: 3%; Crude Oils and Fats: 12%; Crude Ash: 7%; Moisture: Not Stated; Omega (3 and/or 6): 3%; Calcium: 1.1%; Phosphorus: 0.8%|Not Stated; Vitamins: Vitamin A (as Retinyl Acetate) 18,000 IU, Vitamin D3 (as Cholecalciferol) 1,800 IU, Vitamin E (as Alpha Tocopherol Acetate) 150 IU;  Trace Elements: Zinc (as Zinc Chelate of Amino Acids Hydrate) 100mg, Manganese (as Manganese Chelate of Amino Acids Hydrate) 10mg, Copper (as Copper (II) Chelate of Amino Acids Hydrate) 9mg, Selenium (as Organic Selenium S. cerevisiae CNCM 1-3060) 0.2mg, Iodine (as Calcium Iodate Anhydrous) 0.5mg|Not Stated|Not Stated
5060184240703|Lily's Kitchen Adult Dry Dog Food Chicken & Duck|https://www.petsathome.com/product/lilys-kitchen-countryside-casserole-dry-adult-dog-food-chicken-and-duck/7108807P|https://cdn.petsathome.com/public/images/products/900_7108807.jpg|Buy One Get Second Half Price On Selected Lily's Kitchen Dog Food Cat Food & Treats|23.79||pounds||5|25|That pitta patta of paws jumping excitedly on your kitchen tiles come dinner time? That's the kind of reaction Lily's food has on dogs, and it's all thanks to wholesome and delicious ingredients bursting with natural goodness. This complete, grain-free recipe is made with fresh chicken and freshly prepared duck plus vegetables, fruits, botanical herbs, vitamins and minerals. (Only the best for your doggo, right?) Lily's add glucosamine and chondroitin into their dry dog food to help aid bone and joint support, prebiotics to help support a healthy digestion and essential nutrients for overall health. It also contains salmon oil, a source of omega-3 fatty acids that help your dog's skin and fur stay healthy, shiny and soft.||Adult dogs 4+ months.|2.5kg: H36 x W20 x D11cm|7108807|42% Chicken and Duck: Fresh Chicken (31%), Freshly Prepared Duck (8%), Chicken Liver (3%). Sweet Potatoes (29%), Whole Peas (6.5%), Whole Lentils, Pea Protein, Flaxseed, Egg, Potato Protein, Chicken Gravy, Minerals, Botanicals and Herbs* (1%), Salmon Oil, Prebiotics (Mannan Oligosaccharides 1.3g/kg, Fructooligosaccharides 0.8g/kg), Carrots, Apples, Joint Care Mix (Glucosamine 175mg/kg, Methylsulfonylmethane 175mg/kg, Chondroitin Sulphate 125mg/kg), Cranberries, Spinach. *Botanicals and Herbs: Alfalfa, Chickweed, Cleavers, Golden Rod, Nettles, Seaweed, Dandelion Root, Celery Seeds, Milk Thistle, Burdock Root, Marigold Flowers, Rosehips|Protein: 23.5%; Crude Fibres: 3%; Crude Oils and Fats: 12%; Crude Ash: 7%; Moisture: Not Stated; Omega (3 and/or 6): 3%; Calcium: 1.1%; Phosphorus: 0.8%|Not Stated; Vitamins: Vitamin A (as Retinyl Acetate) 18,000 IU, Vitamin D3 (as Cholecalciferol) 1,800 IU, Vitamin E (as Alpha Tocopherol Acetate) 150 IU;  Trace Elements: Zinc (as Zinc Chelate of Amino Acids Hydrate) 100mg, Manganese (as Manganese Chelate of Amino Acids Hydrate) 10mg, Copper (as Copper (II) Chelate of Amino Acids Hydrate) 9mg, Selenium (as Organic Selenium S. cerevisiae CNCM 1-3060) 0.2mg, Iodine (as Calcium Iodate Anhydrous) 0.5mg|Not Stated|Not Stated
5060184240598|Lily's Kitchen Adult Dry Dog Food Chicken & Duck|https://www.petsathome.com/product/lilys-kitchen-countryside-casserole-dry-adult-dog-food-chicken-and-duck/7105453P|https://cdn.petsathome.com/public/images/products/900_7105453.jpg||one-time purchase||pounds||5|10|That pitta patta of paws jumping excitedly on your kitchen tiles come dinner time? That's the kind of reaction their food has on dogs, and it's all thanks to wholesome and delicious ingredients bursting with natural goodness. This complete, grain-free recipe is made with fresh chicken and freshly prepared duck plus vegetables, fruits, botanical herbs, vitamins and minerals. (Only the best for your doggo, right?) They add glucosamine and chondroitin into their dry dog food to help aid bone and joint support, prebiotics to help support a healthy digestion and essential nutrients for overall health. It also contains salmon oil, a source of omega-3 fatty acids that help your dog's skin and fur stay healthy, shiny and soft. For adult dogs from 6 months+. Feed in line with their feeding guidelines.||Adult Dog 6 months Plus|7kg: H60 x W30 x D20cm|7105453|42% Chicken and Duck: Fresh Chicken (31%), Freshly Prepared Duck (8%), Chicken Liver (3%), Sweet Potatoes (29%), Whole Peas (6.5%), Whole Lentils, Pea Protein, Flaxseed, Egg, Potato Protein, Chicken Gravy, Minerals, Botanicals and Herbs* (1%), Salmon Oil, Prebiotics (Mannan Oligosaccharides 1.3g/kg, Fructooligosaccharides 0.8g/kg), Carrots, Apples, Joint Care Mix (Glucosamine 175mg/kg, Methylsulfonylmethane 175mg/kg, Chondroitin Sulphate 125mg/kg), Cranberries, Spinach. *Botanicals and Herbs: Alfalfa, Chickweed, Cleavers, Golden Rod, Nettles, Seaweed, Dandelion Root, Celery Seeds, Milk Thistle, Burdock Root, Marigold Flowers, Rosehips|Protein: 23.5%; Crude Fibres: 3%; Crude Oils and Fats: 12%; Crude Ash: 7%; Moisture: Not Stated; Omega (3 and/or 6): 3%; Calcium: 1.1%; Phosphorus: 0.8%|Nutritional Additives:Not Stated; Vitamins: Vitamin A (as Retinyl Acetate) 18,000 IU, Vitamin D3 (as Cholecalciferol) 1,800 IU, Vitamin E (as Alpha Tocopherol Acetate) 150 IU;  Trace Elements: Zinc (as Zinc Chelate of Amino Acids Hydrate) 100mg, Manganese (as Manganese Chelate of Amino Acids Hydrate) 10mg, Copper (as Copper (II) Chelate of Amino Acids Hydrate) 9mg, Selenium (as Organic Selenium S. cerevisiae CNCM 1-3060) 0.2mg, Iodine (as Calcium Iodate Anhydrous) 0.5mg|Not Stated|Not stated
5060184244909|Lily's Kitchen Adult Dry Dog Food Chicken & Duck|https://www.petsathome.com/product/lilys-kitchen-countryside-casserole-dry-adult-dog-food-chicken-and-duck/7131752P|https://cdn.petsathome.com/public/images/products/900_7131752.jpg||one-time purchase||pounds||5|6|That pitta patta of paws jumping excitedly on your kitchen tiles come dinner time? That's the kind of reaction Lily's food has on dogs, and it's all thanks to wholesome and delicious ingredients bursting with natural goodness. This complete, grain-free recipe is made with fresh chicken and freshly prepared duck plus vegetables, fruits, botanical herbs, vitamins and minerals. (Only the best for your doggo, right?) Lily's add glucosamine and chondroitin into their dry dog food to help aid bone and joint support, prebiotics to help support a healthy digestion and essential nutrients for overall health. It also contains salmon oil, a source of omega-3 fatty acids that help your dog's skin and fur stay healthy, shiny and soft.||Adult dogs 4+ months.|12kg: H75 x W37 x D15cm|7131752|42% Chicken and Duck: Fresh Chicken (31%), Freshly Prepared Duck (8%), Chicken Liver (3%). Sweet Potatoes (29%), Whole Peas (6.5%), Whole Lentils, Pea Protein, Flaxseed, Egg, Potato Protein, Chicken Gravy, Minerals, Botanicals and Herbs* (1%), Salmon Oil, Prebiotics (Mannan Oligosaccharides 1.3g/kg, Fructooligosaccharides 0.8g/kg), Carrots, Apples, Joint Care Mix (Glucosamine 175mg/kg, Methylsulfonylmethane 175mg/kg, Chondroitin Sulphate 125mg/kg), Cranberries, Spinach. *Botanicals and Herbs: Alfalfa, Chickweed, Cleavers, Golden Rod, Nettles, Seaweed, Dandelion Root, Celery Seeds, Milk Thistle, Burdock Root, Marigold Flowers, Rosehips|Protein: 23.5%; Crude Fibres: 3%; Crude Oils and Fats: 12%; Crude Ash: 7%; Moisture: Not Stated; Omega (3 and/or 6): 3%; Calcium: 1.1%; Phosphorus: 0.8%|Vitamins: Vitamin A (as Retinyl Acetate) 18,000 IU, Vitamin D3 (as Cholecalciferol) 1,800 IU, Vitamin E (as Alpha Tocopherol Acetate) 150 IU;  Trace Elements: Zinc (as Zinc Chelate of Amino Acids Hydrate) 100mg, Manganese (as Manganese Chelate of Amino Acids Hydrate) 10mg, Copper (as Copper (II) Chelate of Amino Acids Hydrate) 9mg, Selenium (as Organic Selenium S. cerevisiae CNCM 1-3060) 0.2mg, Iodine (as Calcium Iodate Anhydrous) 0.5mg|Not Stated|Not Stated
5425039485010|Edgard & Cooper Grain Free Complete Adult Dry Dog Food Chicken|https://www.petsathome.com/product/edgard-and-cooper-grain-free-complete-dry-adult-dog-food-chicken/7132255P|https://cdn.petsathome.com/public/images/products/3000_7132255P.jpg|Now £15 On Selected Edgard & Cooper Dog Food|15.00|19.99|pounds||5|320|Naturally tasty dog food packed with lots of fresh meat filled with quality and tasty protein (no meat meal, no overprocessed or dried meat), Non-GMO - They cook ingredients with care to preserve their flavour and natural nutrients. Full of delicious fresh, free-run chicken, this grain-free recipe is an amazing low-calorie source of high-quality protein. Easy-to-digest, it also contains prebiotics to support a healthy gut. ||Adult dogs of all breeds and sizes|2.5kg: H36 x W20 x D11cm|7132255|Fresh chicken 40%, potato, peas, pea protein, chicken fat, linseed, chicken gravy, minerals, fish oil, botanical herbs 0.2% (marigold blossoms, nettle, blackberry leaves, fennel, caraway, chamomile, balm), mannanoligosaccharides (MOS), fructo-oligosaccharides (FOS), mango 0.04%, blueberries 0.04%, apples 0.04%, strawberries 0.04%, carrots 0.04%, tomatoes 0.04%|Protein: 25%; Crude Fibres: 4.5%; Crude Oils and Fats: 18%; Crude Ash: 6.9%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|vitamin A 20,000 IU, vitamin D3 2,000 IU, vitamin E 350 mg, taurine 1000 mg. Iron (iron (II) sulphate monohydrate) 75 mg, iodine (potassium iodide) 3.5 mg, copper (copper (II) sulphate pentahydrate) 10 mg, manganese (manganous sulphate monohydrate) 7.5 mg, zinc (zinc oxide) 150 mg, selenium (sodium selenite) 0.15 mg|None Stated|None stated
5425039485263|Edgard & Cooper Organic Adult Dry Dog Food Turkey & Chicken|https://www.petsathome.com/product/edgard-and-cooper-organic-complete-dry-adult-dog-food-turkey-and-chicken/7132844P|https://cdn.petsathome.com/public/images/products/3000_7132844P.jpg||one-time purchase||pounds||5|70|Naturally tasty dog food packed with lots of fresh meat filled with quality and tasty protein (no meat meal, no overprocessed or dried meat), Non-GMO - They cook ingredients with care to preserve their flavour and natural nutrients. This gluten-free recipe is full of fresh, free-range and organic turkey and chicken, so it's an amazing source of high-quality protein. Organic meat has higher welfare standards, which means plenty of fresh air and space for animals to thrive. They blend their recipes with a super-healthy mix of fruit and veg, plus an extra boost of nutritious herbs and botanicals. Then they gently steam it to lock in all the flavour and goodness. Their simple, healthy recipes are developed by experts to provide optimal nutrition from natural ingredients. It's as if your dog had his own personal trainer. For a healthy, complete and balanced diet, their tasty recipes include a tasty mix of fresh meat and nutritious offal, plus fibre-rich fruits and vegetables.||Adult dogs of all breeds and sizes|7kg: H60 x W30 x D12cm|7132844|*Produced from 100% controlled organic farming. Organic fresh chicken* 25%, organic rice* protein, organic whole rice*, organic whole millet*, organic whole oats*, organic fresh turkey* 5%, minerals, organic pork* gravy, organic chicken* fat, organic tomatoes* 0.04%, organic carrots* 0.04%, organic pears* 0.04%, organic apples* 0.04%, organic chia seeds* 0.04%, organic coconut* 0.04%, organic nettle*, organic blackberry* leaves, organic fennel*, organic caraway*, organic chamomile*, organic balm*|Protein: 25%; Crude Fibres: 3.5%; Crude Oils and Fats: 13%; Crude Ash: 7.6%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|vitamin A 12,000 IU, vitamin D3 1,200 IU, vitamin E 75 mg, taurine 1000 mg. Copper (copper (II) sulphate pentahydrate) 10 mg, zinc (zinc oxide) 75 mg, iodine (calcium iodate, anhydrous) 2.1 mg, selenium (sodium selenite) 0.21 mg|None Stated|None stated
5425039485034|Edgard & Cooper Grain Free Adult Dry Dog Food Chicken|https://www.petsathome.com/product/edgard-and-cooper-grain-free-complete-dry-adult-dog-food-chicken/7132835P|https://cdn.petsathome.com/public/images/products/3000_7132835P.jpg|Online Only Price Cut Save 20% Off Selected Edgard & Cooper Dog Food|58.39|72.99|pounds||5|320|Naturally tasty dog food packed with lots of fresh meat filled with quality and tasty protein (no meat meal, no overprocessed or dried meat), Non-GMO - They cook ingredients with care to preserve their flavour and natural nutrients. Full of delicious, fresh, free-run chicken, this grain-free recipe is an amazing low-calorie source of high-quality protein. Easy-to-digest, it also contains prebiotics to support a healthy gut. ||Adult dogs of all breeds and sizes|12kg: H66 x W32 x D17cm|7132835|Fresh chicken 40%, potato, peas, pea protein, chicken fat, linseed, chicken gravy, minerals, fish oil, botanical herbs 0.2% (marigold blossoms, nettle, blackberry leaves, fennel, caraway, chamomile, balm), mannanoligosaccharides (MOS), fructo-oligosaccharides (FOS), mango 0.04%, blueberries 0.04%, apples 0.04%, strawberries 0.04%, carrots 0.04%, tomatoes 0.04%|Protein: 25%; Crude Fibres: 4.5%; Crude Oils and Fats: 18%; Crude Ash: 6.9%; Moisture: Not Stated; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|vitamin A 20,000 IU, vitamin D3 2,000 IU, vitamin E 350 mg, taurine 1000 mg. Iron (iron (II) sulphate monohydrate) 75 mg, iodine (potassium iodide) 3.5 mg, copper (copper (II) sulphate pentahydrate) 10 mg, manganese (manganous sulphate monohydrate) 7.5 mg, zinc (zinc oxide) 150 mg, selenium (sodium selenite) 0.15 mg|None Stated|None stated
5407009646591|Edgard & Cooper Dog Treat Large Bites Chicken|https://www.petsathome.com/product/edgard-and-cooper-dog-treat-large-bites-chicken/7151556P|https://cdn.petsathome.com/public/images/products/900_7151556.jpg||one-time purchase||pounds||5|6|Teach your dog essential skills with these tasty Chicken Bites. Low calorie, natural treats for dogs of all ages. This grain free recipe is ideal for guilt-free snacking and learning new things. Their Bites are crafted with a grain free recipe, featuring the finest cuts of fresh chicken for the tastiest, high-quality protein. A splurge of juicy blueberries and sweet apple add full-on flavour, and essential vitamins and minerals. Baked to perfection, these Bites are brimming with liplicking goodness.||All dogs|50g: H17 x W12.4 x D1cm|7151556|Fresh chicken 45%, pea starch, potato flour, vegetable glycerin, cellulose, pea fibre, chicken gravy, minerals, blueberries (dried) 0.05%, apple (dried) 0.05%|Protein: 18%, Crude Fibres: 4.5%, Crude Oils and Fats: 4.5%, Crude Ash: 5.8%, Moisture 20%, Omega (3 and/or 6) None stated, Calcium None stated, Phosphorus None stated|Nutritional Additives: None stated;  Trace Elements: None stated|None Stated|Antioxidants, preservatives
5407009640353|Edgard & Cooper Grain Free Adult Dry Cat Food Chicken|https://www.petsathome.com/product/edgard-and-cooper-grain-free-dry-adult-cat-food-chicken/7146234P|https://cdn.petsathome.com/public/images/products/3000_7146234P.jpg|Now £17.50 On Selected Edgard & Cooper Cat Food|17.50|21.99|pounds||5|2|Their free-range chicken kibble is a complete feast that's ideal for all adult cats, and sterilised ones too. It's packed with fresh meat which hasn't been powdered, pulverised or frazzled. Just the yummiest ingredients. With real food comes real flavour, and care for your cat's wellbeing. So they've packed their crunchy kibble full of fresh meat to support strong muscles, and added salmon oil to help keep coats healthy and shiny too. There's also taurine to support your cat's eyes and heart, and L-carnitine to help promote a healthy metabolism. Grain free and easy to digest is top of their list when it comes to happy cats. And there are no artificial colours, flavours and no added sugar here. Just a handful of herbs and fruits from mother nature, like cranberries, sage and valerian. Mmmiaow.||All adult cats ages 1 to 11 years, also sterilised ones.|2kg: H35.5 x W20 x D11cm|7146234|Fresh Free-Range Chicken 50%, Peas, Potato (Dried), Potato Starch, Potato Protein, Pea Protein, Minerals, Chicken Gravy, Chicken Fat, Linseed, Yeasts (Dried, Natural Source Of Mannanoligosaccharides (Mos) And Beta-Glucans) 1.5%, Chicory (Dried, Natural Source Of Fructooligosaccharides (Fos) And Inulin) 1%, Beetroot (Dried), Salmon Oil 0.5%, Cranberries (Dried) 0.003%, Sage (Dried) 0.003%, Valerian (Dried) 0.003%. Crude Protein 30%, Crude Fat 17%, Crude Fibre 2.5%, Crude Ash 7.5%, Moisture 6%, Omega 6 3.1%, Omega 3 0.9%, Calcium 1.1%, Phosphorus 0.9%. Vitamin A 20,000?Iu, Vitamin D3 1,750?Iu, Vitamin E 250Mg, Zinc (Zinc Sulphate, Monohydrate) 100Mg, Iron (Iron(Ii) Sulphate, Monohydrate) 70Mg, Iodine (Calcium Iodate, Anhydrous) 1.5Mg, Copper (Copper(Ii) Sulphate, Pentahydrate) 10Mg, Manganese (Manganous Sulphate, Monohydrate) 30Mg, Taurine 1,500Mg, Dl-Methionine 3,000Mg, L-Carnitine 100Mg|Protein: 30%; Crude Fibres: 2.5%; Crude Oils and Fats: 17%; Crude Ash: 7.5%; Moisture: 6%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|None stated|None Stated|Vitamin A 20,000 IU, vitamin D3 1,750 IU, vitamin E 250mg, zinc (zinc sulphate, monohydrate) 100mg, iron (iron(II) sulphate, monohydrate) 70mg, iodine (calcium iodate, anhydrous) 1.5mg, copper (copper(II) sulphate, pentahydrate) 10mg, manganese (manganous sulphate, monohydrate) 30mg, taurine 1,500mg, DL-methionine 3,000mg, L-carnitine 100mg.
5407009640391|Edgard & Cooper Grain Free Adult Dry Cat Food Chicken|https://www.petsathome.com/product/edgard-and-cooper-grain-free-dry-adult-cat-food-chicken/7147401P|https://cdn.petsathome.com/public/images/products/3000_7147401P.jpg||one-time purchase||pounds||5|43|Our free-range chicken kibble is a complete, junk free feast that's ideal for all adult cats, and sterilised ones too. It's packed with fresh meat which hasn't been powdered, pulverised or frazzled. Just the yummiest ingredients. With real food comes real flavour, and care for your cat's wellbeing. So they've packed our crunchy kibble full of fresh meat to support strong muscles, and added salmon oil to help keep coats healthy and shiny too. There's also taurine to support your cat's eyes and heart, and L-carnitine to help promote a healthy metabolism. Grain free and easy to digest is top of the list when it comes to happy cats. And there are no artificial nasties and no added sugar here. Just a handful of herbs and fruits from mother nature, like cranberries, sage and valerian. Mmmiaow. All their kibble recipes are complete and balanced, so you can feed these recipes to your cat without needing any supplements. Move over to junk free food by increasing the amount of Edgard and Cooper and decreasing the amount of your current cat food over 10 days.||Adult cats of all breeds and sizes, including sterilised adult cats|4kg: H48 x W25 x D10cm|7147401|Fresh free-range chicken 50%, peas, potato (dried), potato starch, potato protein, pea protein, minerals, chicken gravy, chicken fat, linseed, yeasts (dried, natural source of mannanoligosaccharides (MOS) and beta-glucans) 1.5%, chicory (dried, natural source of fructooligosaccharides (FOS) and inulin) 1%, beetroot (dried), salmon oil 0.5%, cranberries (dried) 0.003%, sage (dried) 0.003%, valerian (dried) 0.003%|Protein: 30%; Crude Fibres: 2.5%; Crude Oils and Fats: 17%; Crude Ash: 7.5%; Moisture: 6%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Vitamin A 20,000 IU, vitamin D3 1,750 IU, vitamin E 250mg, zinc (zinc sulphate, monohydrate) 100mg, iron (iron(II) sulphate, monohydrate) 70mg, iodine (calcium iodate, anhydrous) 1.5mg, copper (copper(II) sulphate, pentahydrate) 10mg, manganese (manganous sulphate, monohydrate) 30mg, taurine 1,500mg, DL-methionine 3,000mg, L-carnitine 100mg.|None Stated|None stated
5407009641022|Edgard & Cooper Grain Free Adult Cat Wet Food Chunks Variety|https://www.petsathome.com/product/edgard-and-cooper-grain-free-wet-adult-cat-food-chunks-8-variety-pack-tin/7147400P|https://cdn.petsathome.com/public/images/products/3000_7147400P.jpg|Now £8 On Edgard & Cooper Grain Free Wet Adult Cat Food|8.00|9.99|pounds|680.0g|0||Tasty chunks in sauce will leave your cat's taste buds tingling. It's a complete, junk free recipe that's ideal for all adult cats and sterilised ones too. With juicy, varied recipes and pawlickingly good sauce they'll be miaowing for more in no time. They're picky when we think through our real food recipes, so they've packed this one full of protein to help maintain healthy muscles. And there isn't a whiff of artificial nasties or added sugar, so you know your furry friend is in caring hands. All their recipes are also grain free, easy to digest, and a trusty choice to help support trouble free tums. Last but by no means least, they've added a healthy blend of fruits and herbs, like cranberries, sage and turmeric, for even more yumminess. No more fussy felines, just plenty of purrs. All their chunks recipes are complete and balanced, so you can feed these recipes to your cat without needing any supplements. Move over to junk free food by increasing the amount of Edgard and Cooper and decreasing the amount of your current cat food over 10 days.||Adult cats of all breeds and sizes, including sterilised adult cats|8 x 85g: H14 x W14 x D7cm|7147400|This multipack contains the following recipes: Chicken, Salmon and Chicken, Lamb and Chicken, Turkey and ChickenChicken: free-run chicken 46%, beef 7%, minerals, sage (dried) 0.02%, turmeric (dried) 0.02%, cranberries (dried) 0.01%Salmon and Chicken: free-run chicken 37.5%, MSC* salmon 8.5%, beef 7%, minerals, basil (dried) 0.02%, dill (dried) 0.02%, cranberries (dried) 0.01%Lamb and Chicken: free-run chicken 40%, lamb 7%, beef 6%, minerals, sage (dried) 0.02%, turmeric (dried) 0.02%, cranberries (dried) 0.01%Turkey and Chicken: free-run turkey 26%, free-run chicken 20%, beef 7%, minerals, sage (dried) 0.02%, turmeric (dried) 0.02%, cranberries (dried) 0.01%|Protein: 9%; Crude Fibres: 0.2%; Crude Oils and Fats: 5%; Crude Ash: 2.5%; Moisture: 82%; Omega (3 and/or 6): Not Stated; Calcium: Not Stated; Phosphorus: Not Stated|Chicken: vitamin D3 320IU, vitamin E 30mg, zinc (zinc sulphate, monohydrate) 3.64mg, manganese (manganese(II) oxide) 1.63mg, iodine (potassium iodide) 0.15mg, taurine 400mg<br>Salmon and Chicken: vitamin E 30mg, zinc (zinc sulphate, monohydrate) 3.64mg, manganese (manganese(II) oxide) 1.63mg, iodine (potassium iodide) 0.15mg, taurine 400mg<br>Lamb and Chicken: vitamin D3 320IU, vitamin E 30mg, zinc (zinc sulphate, monohydrate) 3.64mg, manganese (manganese(II) oxide) 1.63mg, iodine (potassium iodide) 0.15mg, taurine 400mg<br>Turkey and Chicken: vitamin D3 320IU, vitamin E 30mg, zinc (zinc sulphate, monohydrate) 3.64mg, manganese (manganese(II) oxide) 1.63mg, iodine (potassium iodide) 0.15mg, taurine 400mg.|None Stated|None stated
